firstName,middleName,lastName,preferredName,dateOfBirth,gender,classNumber,sectionName,admissionDate,nationality,placeOfBirth,primaryLanguage,previousSchool,guardianName,guardianPhone,guardianEmail,guardianRelationship,guardianAddress,emergencyContactName,emergencyContactPhone,medicalNotes,learningSupportDetails,notes
Ahmed,Hassan,Warsame,,2018-04-23,Male,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Mohamed,'+252617000011,guardian100.011@example.com,Father,"Mohamoud Haybe, Hargeisa",Jama Mohamed,'+252627000011,,,Grade 2 intake for academic year 2025-2026
Amal,Omar,Jama,,2018-05-25,Female,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Ahmed,'+252617000012,guardian100.012@example.com,Mother,"Mohamed Mooge, Hargeisa",Mohamed Ahmed,'+252627000012,,,Grade 2 intake for academic year 2025-2026
Hamza,Yusuf,Ali,,2018-06-27,Male,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Mohamed,'+252617000013,guardian100.013@example.com,Father,"Ahmed Dhagah, Hargeisa",Omar Mohamed,'+252627000013,,,Grade 2 intake for academic year 2025-2026
Fadumo,Ali,Abdullahi,,2018-07-02,Female,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Ahmed,'+252617000014,guardian100.014@example.com,Mother,"Gacan Libaax, Hargeisa",Yusuf Ahmed,'+252627000014,,,Grade 2 intake for academic year 2025-2026
Ibrahim,Nur,Mohamed,,2018-08-04,Male,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Mohamed,'+252617000015,guardian100.015@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Abdullahi Mohamed,'+252627000015,,,Grade 2 intake for academic year 2025-2026
Hodan,Said,Hassan,,2018-09-06,Female,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Ahmed,'+252617000016,guardian100.016@example.com,Mother,"Mohamoud Haybe, Hargeisa",Abdi Ahmed,'+252627000016,,,Grade 2 intake for academic year 2025-2026
Mohamed,Ahmed,Adan,,2018-10-08,Male,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Mohamed,'+252617000017,guardian100.017@example.com,Father,"Mohamed Mooge, Hargeisa",Ahmed Mohamed,'+252627000017,,,Grade 2 intake for academic year 2025-2026
Maryan,Mohamed,Nur,,2018-11-10,Female,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Ahmed,'+252617000018,guardian100.018@example.com,Mother,"Ahmed Dhagah, Hargeisa",Ali Ahmed,'+252627000018,,,Grade 2 intake for academic year 2025-2026
Yusuf,Osman,Ibrahim,,2018-12-12,Male,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Mohamed,'+252617000019,guardian100.019@example.com,Father,"Gacan Libaax, Hargeisa",Hassan Mohamed,'+252627000019,,,Grade 2 intake for academic year 2025-2026
Aisha,Abdi,Ahmed,,2018-01-14,Female,2,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Ahmed,'+252617000020,guardian100.020@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Ibrahim Ahmed,'+252627000020,,,Grade 2 intake for academic year 2025-2026
Ali,Hassan,Abdullahi,,2017-05-16,Male,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Nur,'+252617000021,guardian100.021@example.com,Father,"Mohamed Mooge, Hargeisa",Mohamed Nur,'+252627000021,,,Grade 3 intake for academic year 2025-2026
Asma,Omar,Mohamed,,2017-06-18,Female,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Ali,'+252617000022,guardian100.022@example.com,Mother,"Ahmed Dhagah, Hargeisa",Omar Ali,'+252627000022,,,Grade 3 intake for academic year 2025-2026
Hassan,Yusuf,Hassan,,2017-07-20,Male,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Nur,'+252617000023,guardian100.023@example.com,Father,"Gacan Libaax, Hargeisa",Yusuf Nur,'+252627000023,,,Grade 3 intake for academic year 2025-2026
Hafsa,Ali,Adan,,2017-08-22,Female,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Ali,'+252617000024,guardian100.024@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Abdullahi Ali,'+252627000024,,,Grade 3 intake for academic year 2025-2026
Ismail,Nur,Nur,,2017-09-24,Male,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Nur,'+252617000025,guardian100.025@example.com,Father,"Mohamoud Haybe, Hargeisa",Abdi Nur,'+252627000025,,,Grade 3 intake for academic year 2025-2026
Khadra,Said,Ibrahim,,2017-10-26,Female,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Ali,'+252617000026,guardian100.026@example.com,Mother,"Mohamed Mooge, Hargeisa",Ahmed Ali,'+252627000026,,,Grade 3 intake for academic year 2025-2026
Mustafa,Ahmed,Ahmed,,2017-11-01,Male,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Nur,'+252617000027,guardian100.027@example.com,Father,"Ahmed Dhagah, Hargeisa",Ali Nur,'+252627000027,,,Grade 3 intake for academic year 2025-2026
Sahra,Mohamed,Warsame,,2017-12-03,Female,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Ali,'+252617000028,guardian100.028@example.com,Mother,"Gacan Libaax, Hargeisa",Hassan Ali,'+252627000028,,,Grade 3 intake for academic year 2025-2026
Abdirahman,Osman,Jama,,2017-01-05,Male,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Nur,'+252617000029,guardian100.029@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Ibrahim Nur,'+252627000029,,,Grade 3 intake for academic year 2025-2026
Amina,Abdi,Ali,,2017-02-07,Female,3,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Ali,'+252617000030,guardian100.030@example.com,Mother,"Mohamoud Haybe, Hargeisa",Jama Ali,'+252627000030,,,Grade 3 intake for academic year 2025-2026
Hamza,Hassan,Adan,,2016-06-09,Male,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Warsame,'+252617000031,guardian100.031@example.com,Father,"Ahmed Dhagah, Hargeisa",Omar Warsame,'+252627000031,,,Grade 4 intake for academic year 2025-2026
Fadumo,Omar,Nur,,2016-07-11,Female,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Hassan,'+252617000032,guardian100.032@example.com,Mother,"Gacan Libaax, Hargeisa",Yusuf Hassan,'+252627000032,,,Grade 4 intake for academic year 2025-2026
Ibrahim,Yusuf,Ibrahim,,2016-08-13,Male,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Warsame,'+252617000033,guardian100.033@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Abdullahi Warsame,'+252627000033,,,Grade 4 intake for academic year 2025-2026
Hodan,Ali,Ahmed,,2016-09-15,Female,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Hassan,'+252617000034,guardian100.034@example.com,Mother,"Mohamoud Haybe, Hargeisa",Abdi Hassan,'+252627000034,,,Grade 4 intake for academic year 2025-2026
Mohamed,Nur,Warsame,,2016-10-17,Male,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Warsame,'+252617000035,guardian100.035@example.com,Father,"Mohamed Mooge, Hargeisa",Ahmed Warsame,'+252627000035,,,Grade 4 intake for academic year 2025-2026
Maryan,Said,Jama,,2016-11-19,Female,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Hassan,'+252617000036,guardian100.036@example.com,Mother,"Ahmed Dhagah, Hargeisa",Ali Hassan,'+252627000036,,,Grade 4 intake for academic year 2025-2026
Yusuf,Ahmed,Ali,,2016-12-21,Male,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Warsame,'+252617000037,guardian100.037@example.com,Father,"Gacan Libaax, Hargeisa",Hassan Warsame,'+252627000037,,,Grade 4 intake for academic year 2025-2026
Aisha,Mohamed,Abdullahi,,2016-01-23,Female,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Hassan,'+252617000038,guardian100.038@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Ibrahim Hassan,'+252627000038,,,Grade 4 intake for academic year 2025-2026
Ahmed,Osman,Mohamed,,2016-02-25,Male,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Warsame,'+252617000039,guardian100.039@example.com,Father,"Mohamoud Haybe, Hargeisa",Jama Warsame,'+252627000039,,,Grade 4 intake for academic year 2025-2026
Amal,Abdi,Hassan,,2016-03-27,Female,4,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Hassan,'+252617000040,guardian100.040@example.com,Mother,"Mohamed Mooge, Hargeisa",Mohamed Hassan,'+252627000040,,,Grade 4 intake for academic year 2025-2026
Hassan,Hassan,Ahmed,,2015-07-02,Male,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Abdullahi,'+252617000041,guardian100.041@example.com,Father,"Gacan Libaax, Hargeisa",Yusuf Abdullahi,'+252627000041,,,Grade 5 intake for academic year 2025-2026
Hafsa,Omar,Warsame,,2015-08-04,Female,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Ibrahim,'+252617000042,guardian100.042@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Abdullahi Ibrahim,'+252627000042,,,Grade 5 intake for academic year 2025-2026
Ismail,Yusuf,Jama,,2015-09-06,Male,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Abdullahi,'+252617000043,guardian100.043@example.com,Father,"Mohamoud Haybe, Hargeisa",Abdi Abdullahi,'+252627000043,,,Grade 5 intake for academic year 2025-2026
Khadra,Ali,Ali,,2015-10-08,Female,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Ibrahim,'+252617000044,guardian100.044@example.com,Mother,"Mohamed Mooge, Hargeisa",Ahmed Ibrahim,'+252627000044,,,Grade 5 intake for academic year 2025-2026
Mustafa,Nur,Abdullahi,,2015-11-10,Male,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Abdullahi,'+252617000045,guardian100.045@example.com,Father,"Ahmed Dhagah, Hargeisa",Ali Abdullahi,'+252627000045,,,Grade 5 intake for academic year 2025-2026
Sahra,Said,Mohamed,,2015-12-12,Female,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Ibrahim,'+252617000046,guardian100.046@example.com,Mother,"Gacan Libaax, Hargeisa",Hassan Ibrahim,'+252627000046,,,Grade 5 intake for academic year 2025-2026
Abdirahman,Ahmed,Hassan,,2015-01-14,Male,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Abdullahi,'+252617000047,guardian100.047@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Ibrahim Abdullahi,'+252627000047,,,Grade 5 intake for academic year 2025-2026
Amina,Mohamed,Adan,,2015-02-16,Female,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Ibrahim,'+252617000048,guardian100.048@example.com,Mother,"Mohamoud Haybe, Hargeisa",Jama Ibrahim,'+252627000048,,,Grade 5 intake for academic year 2025-2026
Ali,Osman,Nur,,2015-03-18,Male,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Abdullahi,'+252617000049,guardian100.049@example.com,Father,"Mohamed Mooge, Hargeisa",Mohamed Abdullahi,'+252627000049,,,Grade 5 intake for academic year 2025-2026
Asma,Abdi,Ibrahim,,2015-04-20,Female,5,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Ibrahim,'+252617000050,guardian100.050@example.com,Mother,"Ahmed Dhagah, Hargeisa",Omar Ibrahim,'+252627000050,,,Grade 5 intake for academic year 2025-2026
Ibrahim,Hassan,Ali,,2014-08-22,Male,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Adan,'+252617000051,guardian100.051@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Abdullahi Adan,'+252627000051,,,Grade 6 intake for academic year 2025-2026
Hodan,Omar,Abdullahi,,2014-09-24,Female,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Jama,'+252617000052,guardian100.052@example.com,Mother,"Mohamoud Haybe, Hargeisa",Abdi Jama,'+252627000052,,,Grade 6 intake for academic year 2025-2026
Mohamed,Yusuf,Mohamed,,2014-10-26,Male,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Adan,'+252617000053,guardian100.053@example.com,Father,"Mohamed Mooge, Hargeisa",Ahmed Adan,'+252627000053,,,Grade 6 intake for academic year 2025-2026
Maryan,Ali,Hassan,,2014-11-01,Female,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Jama,'+252617000054,guardian100.054@example.com,Mother,"Ahmed Dhagah, Hargeisa",Ali Jama,'+252627000054,,,Grade 6 intake for academic year 2025-2026
Yusuf,Nur,Adan,,2014-12-03,Male,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Adan,'+252617000055,guardian100.055@example.com,Father,"Gacan Libaax, Hargeisa",Hassan Adan,'+252627000055,,,Grade 6 intake for academic year 2025-2026
Aisha,Said,Nur,,2014-01-05,Female,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Jama,'+252617000056,guardian100.056@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Ibrahim Jama,'+252627000056,,,Grade 6 intake for academic year 2025-2026
Ahmed,Ahmed,Ibrahim,,2014-02-07,Male,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Adan,'+252617000057,guardian100.057@example.com,Father,"Mohamoud Haybe, Hargeisa",Jama Adan,'+252627000057,,,Grade 6 intake for academic year 2025-2026
Amal,Mohamed,Ahmed,,2014-03-09,Female,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Jama,'+252617000058,guardian100.058@example.com,Mother,"Mohamed Mooge, Hargeisa",Mohamed Jama,'+252627000058,,,Grade 6 intake for academic year 2025-2026
Hamza,Osman,Warsame,,2014-04-11,Male,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Adan,'+252617000059,guardian100.059@example.com,Father,"Ahmed Dhagah, Hargeisa",Omar Adan,'+252627000059,,,Grade 6 intake for academic year 2025-2026
Fadumo,Abdi,Jama,,2014-05-13,Female,6,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Jama,'+252617000060,guardian100.060@example.com,Mother,"Gacan Libaax, Hargeisa",Yusuf Jama,'+252627000060,,,Grade 6 intake for academic year 2025-2026
Ismail,Hassan,Hassan,,2013-09-15,Male,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Ahmed,'+252617000061,guardian100.061@example.com,Father,"Mohamoud Haybe, Hargeisa",Abdi Ahmed,'+252627000061,,,Grade 7 intake for academic year 2025-2026
Khadra,Omar,Adan,,2013-10-17,Female,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Mohamed,'+252617000062,guardian100.062@example.com,Mother,"Mohamed Mooge, Hargeisa",Ahmed Mohamed,'+252627000062,,,Grade 7 intake for academic year 2025-2026
Mustafa,Yusuf,Nur,,2013-11-19,Male,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Ahmed,'+252617000063,guardian100.063@example.com,Father,"Ahmed Dhagah, Hargeisa",Ali Ahmed,'+252627000063,,,Grade 7 intake for academic year 2025-2026
Sahra,Ali,Ibrahim,,2013-12-21,Female,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Mohamed,'+252617000064,guardian100.064@example.com,Mother,"Gacan Libaax, Hargeisa",Hassan Mohamed,'+252627000064,,,Grade 7 intake for academic year 2025-2026
Abdirahman,Nur,Ahmed,,2013-01-23,Male,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Ahmed,'+252617000065,guardian100.065@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Ibrahim Ahmed,'+252627000065,,,Grade 7 intake for academic year 2025-2026
Amina,Said,Warsame,,2013-02-25,Female,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Mohamed,'+252617000066,guardian100.066@example.com,Mother,"Mohamoud Haybe, Hargeisa",Jama Mohamed,'+252627000066,,,Grade 7 intake for academic year 2025-2026
Ali,Ahmed,Jama,,2013-03-27,Male,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Ahmed,'+252617000067,guardian100.067@example.com,Father,"Mohamed Mooge, Hargeisa",Mohamed Ahmed,'+252627000067,,,Grade 7 intake for academic year 2025-2026
Asma,Mohamed,Ali,,2013-04-02,Female,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Mohamed,'+252617000068,guardian100.068@example.com,Mother,"Ahmed Dhagah, Hargeisa",Omar Mohamed,'+252627000068,,,Grade 7 intake for academic year 2025-2026
Hassan,Osman,Abdullahi,,2013-05-04,Male,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Ahmed,'+252617000069,guardian100.069@example.com,Father,"Gacan Libaax, Hargeisa",Yusuf Ahmed,'+252627000069,,,Grade 7 intake for academic year 2025-2026
Hafsa,Abdi,Mohamed,,2013-06-06,Female,7,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Mohamed,'+252617000070,guardian100.070@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Abdullahi Mohamed,'+252627000070,,,Grade 7 intake for academic year 2025-2026
Mohamed,Hassan,Ibrahim,,2012-10-08,Male,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Ali,'+252617000071,guardian100.071@example.com,Father,"Mohamed Mooge, Hargeisa",Ahmed Ali,'+252627000071,,,Grade 8 intake for academic year 2025-2026
Maryan,Omar,Ahmed,,2012-11-10,Female,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Nur,'+252617000072,guardian100.072@example.com,Mother,"Ahmed Dhagah, Hargeisa",Ali Nur,'+252627000072,,,Grade 8 intake for academic year 2025-2026
Yusuf,Yusuf,Warsame,,2012-12-12,Male,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Ali,'+252617000073,guardian100.073@example.com,Father,"Gacan Libaax, Hargeisa",Hassan Ali,'+252627000073,,,Grade 8 intake for academic year 2025-2026
Aisha,Ali,Jama,,2012-01-14,Female,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Nur,'+252617000074,guardian100.074@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Ibrahim Nur,'+252627000074,,,Grade 8 intake for academic year 2025-2026
Ahmed,Nur,Ali,,2012-02-16,Male,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Ali,'+252617000075,guardian100.075@example.com,Father,"Mohamoud Haybe, Hargeisa",Jama Ali,'+252627000075,,,Grade 8 intake for academic year 2025-2026
Amal,Said,Abdullahi,,2012-03-18,Female,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Nur,'+252617000076,guardian100.076@example.com,Mother,"Mohamed Mooge, Hargeisa",Mohamed Nur,'+252627000076,,,Grade 8 intake for academic year 2025-2026
Hamza,Ahmed,Mohamed,,2012-04-20,Male,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Ali,'+252617000077,guardian100.077@example.com,Father,"Ahmed Dhagah, Hargeisa",Omar Ali,'+252627000077,,,Grade 8 intake for academic year 2025-2026
Fadumo,Mohamed,Hassan,,2012-05-22,Female,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Nur,'+252617000078,guardian100.078@example.com,Mother,"Gacan Libaax, Hargeisa",Yusuf Nur,'+252627000078,,,Grade 8 intake for academic year 2025-2026
Ibrahim,Osman,Adan,,2012-06-24,Male,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Ali,'+252617000079,guardian100.079@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Abdullahi Ali,'+252627000079,,,Grade 8 intake for academic year 2025-2026
Hodan,Abdi,Nur,,2012-07-26,Female,8,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Nur,'+252617000080,guardian100.080@example.com,Mother,"Mohamoud Haybe, Hargeisa",Abdi Nur,'+252627000080,,,Grade 8 intake for academic year 2025-2026
Mustafa,Hassan,Jama,,2011-11-01,Male,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdullahi Hassan,'+252617000081,guardian100.081@example.com,Father,"Ahmed Dhagah, Hargeisa",Ali Hassan,'+252627000081,,,Grade 9 intake for academic year 2025-2026
Sahra,Omar,Ali,,2011-12-03,Female,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Warsame,'+252617000082,guardian100.082@example.com,Mother,"Gacan Libaax, Hargeisa",Hassan Warsame,'+252627000082,,,Grade 9 intake for academic year 2025-2026
Abdirahman,Yusuf,Abdullahi,,2011-01-05,Male,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Hassan,'+252617000083,guardian100.083@example.com,Father,"Ibrahim Koodbuur, Hargeisa",Ibrahim Hassan,'+252627000083,,,Grade 9 intake for academic year 2025-2026
Amina,Ali,Mohamed,,2011-02-07,Female,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Warsame,'+252617000084,guardian100.084@example.com,Mother,"Mohamoud Haybe, Hargeisa",Jama Warsame,'+252627000084,,,Grade 9 intake for academic year 2025-2026
Ali,Nur,Hassan,,2011-03-09,Male,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Hassan,'+252617000085,guardian100.085@example.com,Father,"Mohamed Mooge, Hargeisa",Mohamed Hassan,'+252627000085,,,Grade 9 intake for academic year 2025-2026
Asma,Said,Adan,,2011-04-11,Female,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Warsame,'+252617000086,guardian100.086@example.com,Mother,"Ahmed Dhagah, Hargeisa",Omar Warsame,'+252627000086,,,Grade 9 intake for academic year 2025-2026
Hassan,Ahmed,Nur,,2011-05-13,Male,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Jama Hassan,'+252617000087,guardian100.087@example.com,Father,"Gacan Libaax, Hargeisa",Yusuf Hassan,'+252627000087,,,Grade 9 intake for academic year 2025-2026
Hafsa,Mohamed,Ibrahim,,2011-06-15,Female,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Mohamed Warsame,'+252617000088,guardian100.088@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Abdullahi Warsame,'+252627000088,,,Grade 9 intake for academic year 2025-2026
Ismail,Osman,Ahmed,,2011-07-17,Male,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Omar Hassan,'+252617000089,guardian100.089@example.com,Father,"Mohamoud Haybe, Hargeisa",Abdi Hassan,'+252627000089,,,Grade 9 intake for academic year 2025-2026
Khadra,Abdi,Warsame,,2011-08-19,Female,9,,2025-08-10,Somali,Hargeisa,Somali,Community School,Yusuf Warsame,'+252617000090,guardian100.090@example.com,Mother,"Mohamed Mooge, Hargeisa",Ahmed Warsame,'+252627000090,,,Grade 9 intake for academic year 2025-2026
Yusuf,Hassan,Mohamed,,2010-12-21,Male,10,,2025-08-10,Somali,Hargeisa,Somali,Community School,Abdi Ibrahim,'+252617000091,guardian100.091@example.com,Father,"Gacan Libaax, Hargeisa",Hassan Ibrahim,'+252627000091,,,Grade 10 intake for academic year 2025-2026
Aisha,Omar,Hassan,,2010-01-23,Female,10,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ahmed Abdullahi,'+252617000092,guardian100.092@example.com,Mother,"Ibrahim Koodbuur, Hargeisa",Ibrahim Abdullahi,'+252627000092,,,Grade 10 intake for academic year 2025-2026
Ahmed,Yusuf,Adan,,2010-02-25,Male,10,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ali Ibrahim,'+252617000093,guardian100.093@example.com,Father,"Mohamoud Haybe, Hargeisa",Jama Ibrahim,'+252627000093,,,Grade 10 intake for academic year 2025-2026
Amal,Ali,Nur,,2010-03-27,Female,10,,2025-08-10,Somali,Hargeisa,Somali,Community School,Hassan Abdullahi,'+252617000094,guardian100.094@example.com,Mother,"Mohamed Mooge, Hargeisa",Mohamed Abdullahi,'+252627000094,,,Grade 10 intake for academic year 2025-2026
Hamza,Nur,Ibrahim,,2010-04-02,Male,10,,2025-08-10,Somali,Hargeisa,Somali,Community School,Ibrahim Ibrahim,'+252617000095,guardian100.095@example.com,Father,"Ahmed Dhagah, Hargeisa",Omar Ibrahim,'+252627000095,,,Grade 10 intake for academic year 2025-2026
