firstName,middleName,lastName,DOB,gender,guardianName,guardianPhone,guardianAddress,guardianEmail,guardianRelationship,classId,sectionId,sectionName,academicYearId,admissionDate,nationality,createParentPortal
Ahmed,Omar,Yusuf,2016-02-06,Male,Fadumo Yusuf,+252610000062,House 062 Hodan District Mogadishu,guardian062@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hodan,Ahmed,Yusuf,2016-03-07,Female,Ibrahim Yusuf,+252610000063,House 063 Hodan District Mogadishu,guardian063@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Mohamed,Nur,Yusuf,2016-04-08,Male,Khadra Yusuf,+252610000064,House 064 Hodan District Mogadishu,guardian064@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Sahra,Farah,Yusuf,2016-05-09,Female,Ali Yusuf,+252610000065,House 065 Hodan District Mogadishu,guardian065@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Abdi,Mahad,Yusuf,2016-06-10,Male,Deqa Yusuf,+252610000066,House 066 Hodan District Mogadishu,guardian066@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Said,Yusuf,2016-07-11,Female,Mohamed Yusuf,+252610000067,House 067 Hodan District Mogadishu,guardian067@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Hassan,Yusuf,2016-08-12,Male,Maryan Yusuf,+252610000068,House 068 Hodan District Mogadishu,guardian068@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Yusuf,Yusuf,2016-09-13,Female,Ismail Yusuf,+252610000069,House 069 Hodan District Mogadishu,guardian069@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Ibrahim,Yusuf,2016-10-14,Male,Hawa Yusuf,+252610000070,House 070 Hodan District Mogadishu,guardian070@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Halima,Osman,Yusuf,2016-11-15,Female,Hassan Yusuf,+252610000071,House 071 Hodan District Mogadishu,guardian071@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Warsame,Yusuf,2016-12-16,Male,Nasteho Yusuf,+252610000072,House 072 Hodan District Mogadishu,guardian072@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yasmin,Adan,Yusuf,2016-01-17,Female,Ahmed Yusuf,+252610000073,House 073 Hodan District Mogadishu,guardian073@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ali,Muse,Yusuf,2016-02-18,Male,Halima Yusuf,+252610000074,House 074 Hodan District Mogadishu,guardian074@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ikram,Abdi,Yusuf,2016-03-19,Female,Mahad Yusuf,+252610000075,House 075 Hodan District Mogadishu,guardian075@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ismail,Mohamed,Yusuf,2016-04-20,Male,Sahra Yusuf,+252610000076,House 076 Hodan District Mogadishu,guardian076@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Nasteho,Ismail,Yusuf,2016-05-21,Female,Omar Yusuf,+252610000077,House 077 Hodan District Mogadishu,guardian077@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ibrahim,Jama,Yusuf,2016-06-22,Male,Yasmin Yusuf,+252610000078,House 078 Hodan District Mogadishu,guardian078@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Deqa,Abdullahi,Yusuf,2016-07-23,Female,Yusuf Yusuf,+252610000079,House 079 Hodan District Mogadishu,guardian079@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Zakariya,Bashir,Yusuf,2016-08-24,Male,Asha Yusuf,+252610000080,House 080 Hodan District Mogadishu,guardian080@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Amina,Ali,Ali,2016-09-25,Female,Abdullahi Ali,+252610000081,House 081 Hodan District Mogadishu,guardian081@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ahmed,Omar,Ali,2016-10-26,Male,Fadumo Ali,+252610000082,House 082 Hodan District Mogadishu,guardian082@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hodan,Ahmed,Ali,2016-11-27,Female,Ibrahim Ali,+252610000083,House 083 Hodan District Mogadishu,guardian083@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Mohamed,Nur,Ali,2016-12-28,Male,Khadra Ali,+252610000084,House 084 Hodan District Mogadishu,guardian084@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Sahra,Farah,Ali,2016-01-01,Female,Ali Ali,+252610000085,House 085 Hodan District Mogadishu,guardian085@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Abdi,Mahad,Ali,2016-02-02,Male,Deqa Ali,+252610000086,House 086 Hodan District Mogadishu,guardian086@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Said,Ali,2016-03-03,Female,Mohamed Ali,+252610000087,House 087 Hodan District Mogadishu,guardian087@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Hassan,Ali,2016-04-04,Male,Maryan Ali,+252610000088,House 088 Hodan District Mogadishu,guardian088@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Yusuf,Ali,2016-05-05,Female,Ismail Ali,+252610000089,House 089 Hodan District Mogadishu,guardian089@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Ibrahim,Ali,2016-06-06,Male,Hawa Ali,+252610000090,House 090 Hodan District Mogadishu,guardian090@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Halima,Osman,Ali,2016-07-07,Female,Hassan Ali,+252610000091,House 091 Hodan District Mogadishu,guardian091@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Warsame,Ali,2016-08-08,Male,Nasteho Ali,+252610000092,House 092 Hodan District Mogadishu,guardian092@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yasmin,Adan,Ali,2016-09-09,Female,Ahmed Ali,+252610000093,House 093 Hodan District Mogadishu,guardian093@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ali,Muse,Ali,2016-10-10,Male,Halima Ali,+252610000094,House 094 Hodan District Mogadishu,guardian094@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ikram,Abdi,Ali,2016-11-11,Female,Mahad Ali,+252610000095,House 095 Hodan District Mogadishu,guardian095@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ismail,Mohamed,Ali,2016-12-12,Male,Sahra Ali,+252610000096,House 096 Hodan District Mogadishu,guardian096@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Nasteho,Ismail,Ali,2016-01-13,Female,Omar Ali,+252610000097,House 097 Hodan District Mogadishu,guardian097@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ibrahim,Jama,Ali,2016-02-14,Male,Yasmin Ali,+252610000098,House 098 Hodan District Mogadishu,guardian098@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Deqa,Abdullahi,Ali,2016-03-15,Female,Yusuf Ali,+252610000099,House 099 Hodan District Mogadishu,guardian099@example.com,Mother,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Zakariya,Bashir,Ali,2016-04-16,Male,Asha Ali,+252610000100,House 100 Hodan District Mogadishu,guardian100@example.com,Father,6a76266063e146a4e41f686e,6a76268163e146a4e41f6872,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Said,Warsame,2015-07-11,Female,Mohamed Warsame,+252610000167,House 167 Hodan District Mogadishu,guardian167@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Hassan,Warsame,2015-08-12,Male,Maryan Warsame,+252610000168,House 168 Hodan District Mogadishu,guardian168@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Yusuf,Warsame,2015-09-13,Female,Ismail Warsame,+252610000169,House 169 Hodan District Mogadishu,guardian169@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Ibrahim,Warsame,2015-10-14,Male,Hawa Warsame,+252610000170,House 170 Hodan District Mogadishu,guardian170@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Halima,Osman,Warsame,2015-11-15,Female,Hassan Warsame,+252610000171,House 171 Hodan District Mogadishu,guardian171@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Warsame,Warsame,2015-12-16,Male,Nasteho Warsame,+252610000172,House 172 Hodan District Mogadishu,guardian172@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yasmin,Adan,Warsame,2015-01-17,Female,Ahmed Warsame,+252610000173,House 173 Hodan District Mogadishu,guardian173@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ali,Muse,Warsame,2015-02-18,Male,Halima Warsame,+252610000174,House 174 Hodan District Mogadishu,guardian174@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ikram,Abdi,Warsame,2015-03-19,Female,Mahad Warsame,+252610000175,House 175 Hodan District Mogadishu,guardian175@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ismail,Mohamed,Warsame,2015-04-20,Male,Sahra Warsame,+252610000176,House 176 Hodan District Mogadishu,guardian176@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Nasteho,Ismail,Warsame,2015-05-21,Female,Omar Warsame,+252610000177,House 177 Hodan District Mogadishu,guardian177@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ibrahim,Jama,Warsame,2015-06-22,Male,Yasmin Warsame,+252610000178,House 178 Hodan District Mogadishu,guardian178@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Deqa,Abdullahi,Warsame,2015-07-23,Female,Yusuf Warsame,+252610000179,House 179 Hodan District Mogadishu,guardian179@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Zakariya,Bashir,Warsame,2015-08-24,Male,Asha Warsame,+252610000180,House 180 Hodan District Mogadishu,guardian180@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Amina,Ali,Nur,2015-09-25,Female,Abdullahi Nur,+252610000181,House 181 Hodan District Mogadishu,guardian181@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ahmed,Omar,Nur,2015-10-26,Male,Fadumo Nur,+252610000182,House 182 Hodan District Mogadishu,guardian182@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hodan,Ahmed,Nur,2015-11-27,Female,Ibrahim Nur,+252610000183,House 183 Hodan District Mogadishu,guardian183@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Mohamed,Nur,Nur,2015-12-28,Male,Khadra Nur,+252610000184,House 184 Hodan District Mogadishu,guardian184@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Sahra,Farah,Nur,2015-01-01,Female,Ali Nur,+252610000185,House 185 Hodan District Mogadishu,guardian185@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Abdi,Mahad,Nur,2015-02-02,Male,Deqa Nur,+252610000186,House 186 Hodan District Mogadishu,guardian186@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Fadumo,Said,Nur,2015-03-03,Female,Mohamed Nur,+252610000187,House 187 Hodan District Mogadishu,guardian187@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yusuf,Hassan,Nur,2015-04-04,Male,Maryan Nur,+252610000188,House 188 Hodan District Mogadishu,guardian188@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Maryan,Yusuf,Nur,2015-05-05,Female,Ismail Nur,+252610000189,House 189 Hodan District Mogadishu,guardian189@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Hassan,Ibrahim,Nur,2015-06-06,Male,Hawa Nur,+252610000190,House 190 Hodan District Mogadishu,guardian190@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Halima,Osman,Nur,2015-07-07,Female,Hassan Nur,+252610000191,House 191 Hodan District Mogadishu,guardian191@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Omar,Warsame,Nur,2015-08-08,Male,Nasteho Nur,+252610000192,House 192 Hodan District Mogadishu,guardian192@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Yasmin,Adan,Nur,2015-09-09,Female,Ahmed Nur,+252610000193,House 193 Hodan District Mogadishu,guardian193@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ali,Muse,Nur,2015-10-10,Male,Halima Nur,+252610000194,House 194 Hodan District Mogadishu,guardian194@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ikram,Abdi,Nur,2015-11-11,Female,Mahad Nur,+252610000195,House 195 Hodan District Mogadishu,guardian195@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ismail,Mohamed,Nur,2015-12-12,Male,Sahra Nur,+252610000196,House 196 Hodan District Mogadishu,guardian196@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Nasteho,Ismail,Nur,2015-01-13,Female,Omar Nur,+252610000197,House 197 Hodan District Mogadishu,guardian197@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Ibrahim,Jama,Nur,2015-02-14,Male,Yasmin Nur,+252610000198,House 198 Hodan District Mogadishu,guardian198@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Deqa,Abdullahi,Nur,2015-03-15,Female,Yusuf Nur,+252610000199,House 199 Hodan District Mogadishu,guardian199@example.com,Mother,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
Zakariya,Bashir,Nur,2015-04-16,Male,Asha Nur,+252610000200,House 200 Hodan District Mogadishu,guardian200@example.com,Father,6a76266d63e146a4e41f6870,,,6a7621e463e146a4e41f6852,2026-08-07,Somali,false
